Source Type,Source Name,Message,Sender,Date,Scraped At,Keywords Matched
personal,Sheger Press️️,"የኤሌክትሪክ አገልግሎት ክፍያ በ400% ሊጨምር ነው።

ከሦስት ዓመታታ በኃላ የኤሌክትሪክ አግልግሎት ታሪፍ በ400 ፐርሰንት እንደሚጨምር ሪፖርተር ጋዜጣ ዘግቧል::
ታላቁ የኢትዮጵያ ህዳሴ ግድምዐበቀጣዩ መስከረም ወር ሪቫን እንቆርጣለን ሲሉ ጠ/ሩ መናገራቸው ይታወሳል።

በዚ ጉዳይ እናንተስ ምን ትላላቹ ሀሳባቹን አጋሩ

@sheger_press
@sheger_press",-1001770199174,2025-06-25 11:05:52,2025-06-26 12:55:51,ኢትዮጵያ
personal,YeneTube,"**በቀጣይ የክረምት ወራት የከፋ ጉዳት ሊያስከትል የሚችል የዝናብ ሁኔታ በሀገሪቱ የምሥራቅ አካባቢዎች እንደሚጠበቅ ተገለጸ!**

በሀገሪቱ የምሥራቅ አካባቢዎች በተያዘው የክረምት ወቅት ቀጣይ ወራት የከፋ ጉዳት ሊያስከትል የሚችል የዝናብ ሁኔታ እንደሚጠበቅ የብሔራዊ ሜትሮሎጂ ኢንስቲቲዩት አስታወቀ።ቀደም ባሉ ዓመታት በድሬደዋ እና ሌሎች ለጎርፍ ተጋላጭ በሆኑ አካባቢዎች ቀውስ ያስከተሉ የጎርፍ አደጋዎች ዓይነት ሊከሰት እንደሚችል  ትንበያ መኖሩን ኢንስቲትዩቱ ጠቁሟል፤ አስፈላጊው የቅድም ጥንቃቄ ሥራ መሠራት እንዳለበት አሳስቧል።

“የዘንድሮው ክረምት ከፍተኛ የዝናብ ሁኔታ እና በጎርፍ አደጋ ሳቢያ ከፍተኛ ቀውስ የተመዘገበባቸውን እንደ ኢትዮጵያ አቆጣጠር 1998 እና 2010ዓ.ም  የነበሩትን ጊዜያት ይመስላል ተብሎ ይጠበቃል” ሲሉ በኢንስቲቲዩቱ የሶማሌ ክልል እና አጎራባች አካባቢዎች የሜትሮሎጂ ትንበያ እና ቅድመ ማስጠንቀቂያ ዴስክ መሪ አቶ አሸናፊ ሙሉነህ መናገራቸውን ከጀርመን ድምጽ ያገኘነው መረጃ ያሳያል።

“ድሬደዋ እና በድሬደዋ ዙርያ እንዲሁም በሰሜን ሶማሌ የጎርፍ ተጋላጭ በሆኑ የእግር ተዳፋት ፣እንዲሁም ከጭናክሰን እስከ ጅግጅጋ ባሉ የጎርፍ መፋሰሻ መስመሮች ላይ የክረምቱ የከባድ ዝናብ አዝማሚያ ጎርፍንን ያስከትላል” ማለታቸውን ዘገባው አስደምጧል።ቀውሶች የሚደገሙበት ሁኔታዎች ሊፈጠሩ ይችላሉ ተብሎ ትንበያ እና ቅድመ ማስጠንቀቂያዎች እየተላለፉ መሆኑን አብራርተዋል።

ለጎርፍ ተጋላጭ በሆኑ በድሬደዋ እንዲሁም ጅግጅጋ አካባቢዎች ቅድመ ማስጠንቀቂያው በተጠናከረ መልኩ ወረዳ ድረስ ተደራሽ በማድረግ ሥራዎችን መሥራት ይጠበቃል ሲሉ አቶ አሸናፊ አሳስበዋል።

@YeneTube @FikerAssefa",-1001105112305,2025-06-26 08:50:05,2025-06-26 12:56:28,ኢትዮጵያ
personal,YeneTube,"**የኢትዮጵያ የባንክ ዘርፍ ለውጭ ባለሀብቶች ክፍት ሆነ!**

የኢትዮጵያ ብሔራዊ ባንክ የሀገሪቱን የባንክ ዘርፍ ለውጭ ተሳትፎ ክፍት የሚያደርግ አዲስ መመሪያን ይፋ አድርጓል።ይህ እርምጃ የኢትዮጵያን የፋይናንስ ዘርፍ ለውጭ ኢንቨስትመንት ክፍት ለማድረግ ሲደረግ የቆየው ጥረት የመጨረሻው ምዕራፍ ተደርጎ እንደሚወሰዱ ተገልጿል።

መመሪያ ቁጥር SBB/94/2025 ባለፉት አንድ ዓመት በተለያዩ ባለድርሻ አካላት በተደረጉ ሰፊ ውይይቶች እና ምክክሮች ግብዓት ተደርጎበት የተዘጋጀ መሆኑ ታውቋል። ይህ መመሪያ ከቅርብ ጊዜ ወዲህ በፀደቀው የባንክ ሥራ አዋጅ መሰረት የወጣ ሲሆን፣ የሚያስፈልገውን የሕግ ማዕቀፍ ማሟላቱ ተገልጿል።

ይህ አዲሱ የፈቃድ አሰጣጥ መመሪያ ለመጀመሪያ ጊዜ የውጭ ባለሀብቶች፣ ባንኮችን እና ሌሎች ስትራቴጂካዊ ባለሀብቶችን ጨምሮ፣ በኢትዮጵያ የባንክ ሥርዓት ውስጥ እንዲሳተፉ ያስችላል ተብሏል።

ብሔራዊ ባንክ ሰኔ 18 ቀን 2017 ዓ.ም. ባወጣዉ መግለጫ መመሪያው የውጭ ተዋናዮች የባንክ ዘርፉን እንዲቀላቀሉባቸው በርካታ መንገዶችን ያቀርባል፤ ከእነዚህም መካከል ቅርንጫፍ ባንኮችን፣ የውጭ ባንክ ቅርንጫፎችን ወይም የወኪል ቢሮዎችን ማቋቋም ይገኙበታል። 

ይህን ተከትሎ የኢትዮጵያ ብሔራዊ ባንክ የሀገሪቱን የባንክ ዘርፍ ለውጭ ተሳትፎ ክፍት መሆኑን የገለፀ ሲሆን የውጭ ባንኮች እና ባለሀብቶችም ማመልከቻዎቻቸውን ከዛሬ ጀምሮ ለብሔራዊ ባንክ ማቅረብ እንደሚችሉ አስታውቋል።

@YeneTube @FikerAssefa",-1001105112305,2025-06-26 08:28:22,2025-06-26 12:56:28,ኢትዮጵያ
personal,YeneTube,"**Ethiopian Building Code Standards
Private Sector Engagement in Code Revision: Final Week – Week 4 Sessions**

We're closing out our 14-part expert-led workshop series with two crucial technical sessions in Week 4:

 **Concrete Design & Specifications
 Technical Specs & Measurement Methods**

 Tuesday, June 24, 2025
 The Urban Center, Addis Ababa
 Live on TUC Facebook page & Google Meet (link shared 30 min before each session)
 Free sessions with refreshments

 **Register now:** https://forms.gle/NewtRdbnasiUFW6r7

 Let’s finish strong, join the conversation, contribute your perspective, and help shape Ethiopia’s future building code.

Many thanks to all our incredible partners for making this journey possible!

#EBCS #CodeRevision #BuiltEnvironment #ECA #CoTBE #TUC #EngineeringEthiopia #ConstructionStandards #UrbanDevelopment #ProfessionalEngagement",-1001105112305,2025-06-26 08:26:11,2025-06-26 12:56:28,ethiopia
personal,YeneTube,"የኢትዮጵያ የባንክ አገልግሎት ከዛሬ ጀምሮ ለውጪ ባንኮች እና ኢንቨስተሮች በይፋ መከፈቱን ብሔራዊ ባንክ አስታወቀ  

ላለፉት ሶስት አስርት ዓመታት በኢትዮጵያውያን ባለሃብቶች ብቻ ሲካሄድ የቆየው የባንክ ስራ አገልግሎት፤ ከዛሬ ጀምሮ ለውጪ ባንኮች እና ኢንቨስተሮች በይፋ መከፈቱን የኢትዮጵያ ብሔራዊ ባንክ አስታወቀ። በዘርፉ መሰማራት የሚፈልጉ የውጪ ባንኮች እና ኢንቨስተሮች ከዛሬ ጀምሮ ማመልከቻዎቻቸውን ለብሔራዊ ባንክ ማስገባት እንደሚችሉም መስሪያ ቤቱ አስታውቋል። 

አቶ ማሞ ምህረቱ በገዢነት የሚመሩት ብሔራዊ ባንክ ይህን ያስታወቀው፤ የውጭ ባለሃብቶች የባንክ ስራ ፈቃድ ለማግኘት እና ለማሳደስ የሚያስችላቸውን መመሪያ ይፋ ባደረገበት መግለጫ ነው። አዲሱ መመሪያ የውጭ ኩባንያዎች በኢትዮጵያ የውክልና ጽህፈት ቤት ለመክፈት ማሟላት የሚያስፈልጋቸውን ቅድመ-ሁኔታዎችም ይዘረዝራል። 

መመሪያው ብሔራዊ ባንክ ባለፈው ዓመት ከተለያዩ ባለድርሻ አካላት ጋር ያደረገው “ሰፊ ምክክር” ውጤት እንደሆነ የመስሪያ ቤቱ መግለጫ አመልክቷል። የኢትዮጵያ መንግስት ለውጪ ባንኮች እና ለኢንቨስተሮች ተዘግቶ የቆየውን የባንክ ስራ ዘርፍ ለመክፈት ዝግጅት ሲያደርግ ከቆየ በኋላ ወደ ተግባር የገባው ከሶስት ዓመት በፊት ነበር።

ዝርዝሩን ለማንበብ  https://ethiopiainsider.com/2025/16188/",-1001105112305,2025-06-25 19:28:35,2025-06-26 12:56:28,"ethiopia, ኢትዮጵያ"
personal,YeneTube,"**በምያንማር ታጣቂዎች ተይዘው የነበሩ ኢትዮጵያውያን በሙሉ ወደ አገር ተመለሱ!**  

ከምያንማር የሳይበር ወንጀል ካምፖች አምልጠው በታጣቂዎች ከወደቁት 751 ኢትዮጵያውያን መካከል የሆኑት የመጨረሻዎቹ 49 ተጎጂዎች ትናንት ወደ አገር መግባታቸውን የወላጆች ኮሚቴ አስተባባሪ እና በታይላንድ የሚገኙ ምንጮች ተናገሩ።ከወንጀል ካምፖቹ መውጣት ያልቻሉ 42 ተጎጂዎች ግን አሁንም በአስቸጋሪ ሁኔታ ውስጥ ያሉ ሲሆን ""ከፎቅ ላይ ራሱን ወረወረ"" የተባለ አንድ ኢትዮጵያዊ ሕይወቱ እንዳለፈም ተገልጿል።

ወደ አገራቸው ተመልሰው የተጠናቀቁት ኢትዮጵያውያን ከየካቲት ወር አንስቶ ""ዴሞክራቲክ ካረን ቤነቮለንት አርሚ"" (DKBA) እና ""ቦርደር ጋርድ ፎርስ"" (BGF) በተባሉት የምያንማር አማጺያን እጅ ነበሩ።ኢትዮጵያውያኑ ከሌሎች አገራት ዜጎች ጋር በመሆን ታጣቂዎቹ እጅ የገቡት በግዳጅ ሠራተኝነት ተይዘው ከነበሩባቸው የሳይበር ወንጀል ካምፖች ካመለጡ በኋላ ነበር።

ኢትዮጵያውያኑ ወደ እነዚህ ካምፖች የገቡት ጥሩ ገንዘብ እንደሚያገኙ ተነግሯቸው ወደ ታይላንድ ከተወሰዱ በኋላ በምያንማር ለሚገኙ የወንጀል ቡድኖች በመሸጣቸው ነው።በካምፖቹ ውስጥ የማጭበርበር ወንጀል እንዲፈጽሙ ሲገደዱ የነበረ ሲሆን የተለያዩ የስቅይት ድርጊቶች ተፈጽመውባቸዋል።በታጣቂዎች እጅ የነበሩትን ተጎጂዎች ለማስወጣት በጃፓን ቶኪዮ እና በሕንድ ኒው ዴልሂ በሚገኙ ኤምባሲዎች እንዲሁም በአጎራባቿ አገር ታይላንድ የሚገኙ መንግሥታዊ ያልሆኑ ድርጅቶች በኅብረት ሲሰሩ ነበር።

Via BBC
@YeneTube @FikerAssefa",-1001105112305,2025-06-25 12:42:02,2025-06-26 12:56:28,ኢትዮጵያ
personal,YeneTube,"አለም አቀፉ የቀይ መስቀል በግጭት በተጎዱ የሀገሪቱ ክልሎች ከአስር ሺህ በላይ ለሚሆኑ አባወራዎች ምርጥ ዘር እና ማዳበሪያ ማከፋፈሉን ገለጸ!

አለም አቀፉ የቀይ መስቀል ማህበር በግጭት በተጎዱ የሀገሪቱ ሶስት ክልሎች ትግራይ፣ አማራ እና ኦሮምያ ለሚገኙ 10 ሺ 500 አርሷአደር ቤተሰቦች ምርጥ ዘር እና ማዳበሪያ ተደራሽ ማድረጉን አስታወቀ።በግብርና የሚተዳደሩ በክልሎቹ የሚገኙ አንዳንድ አከባቢዎች ያሉ አርሶአደሮች በጦርነት እና በግጭት ሳቢያ ከፍተኛ የሆነ የግብርና ምርት እጥረት መስተዋሉን የጠቆመው ማህበሩ የምግብ እጥረት መስተዋሉንም አመላክቷል።

በአንድ ወር ውስጥ ማለትም ከግንቦት 11 ቀን 2017 ዓ.ም እስከ ሰኔ 14 ቀን 2017 ድረስ በትግራይ፣ አማራ እና ኦሮምያ ክልል ለሚገኙ 10 ሺህ 500 አርሶአደር ቤተሰቦች 450 ሜትሪክ ቶን የአየር ንብረት ለውጥ መቋቋም የሚችሉ ምርጥ ዘር ማከፋፈሉን ጠቁሟል።ከአንድ ሺህ 550 ሜትሪክ ቶን በላይ ማዳበሪያም ማከፋፈሉን ገልጿል።በእነዚህ ሶስት ክልሎች ማህበሩ ካከፋፈለው ምርጥ ዘር እና ማዳበሪያ በተጨማሪ ቀጣይ የዝናብ ወራት ከመድረሱ በፊት 63 ሺህ ለሚሆኑ የክልሎቹ ነዋሪዎች የሰብአዊ ርዳታ እያደረሰ እንደሚገኝ አስታውቋል።

""በእነዚህ ክልሎች ራቅ ብለው በሚገኙ እና አስቸጋሪ በሆኑ አካባቢዎችያሉ አርሶ አደሮች ጥራት ያለው ዘር እና ማዳበሪያ ማግኘት ይቸገራሉ፤ በአከባቢዎቹ በሚስተዋለው ተደጋጋሚ ድርቅ ሳቢያ የአቅርቦት ሰንሰለቱ ተስተጓጉሏል፣ ሁኔታዎችም ተባብሷል። በተለይም ደግሞ በአማራ ክልል ሰሜን ወሎ ዞን በሚገኙ በአይና ቡግና እና ላስታ አከባቢዎች እንዲሁም በትግራይ ክልል የተለያዩ አካባቢዎች በጣም አሳሳቢ ነው"" ሲሉ የአለም አቀፉ ቀይመስቀል ማህበር የኢትዮጵያ ቢሮ ኃላፊ ሲሞን ካሳቢያንካ-ኤሽሊማን ገልጸዋል።ማህበሩ ባከፋፈለው ምርጥ ዘር እና ማዳበሪያ እርዳታ ስድስት ሺህ 500 ሄክታር የሚደርስ መሬት ይታረሳል ተብሎ እንደሚጠበቅ አመላክቷል፤ ከዚህም 17 ሺህ ሜትሪክ ቶን በቆሎ፣ ስንዴ፣ ገብስ እና ጤፍ ምርት ይሰበሰባል ተብሎ ይጠበቃል ብሏል።

@YeneTube @FikerAssefa",-1001105112305,2025-06-25 11:49:41,2025-06-26 12:56:28,ኢትዮጵያ
personal,YeneTube,"**የኢትዮጵያ ኢንቨስትመንት ሆልዲንግስ ከአሜሪካው ዓለም አቀፍ የፋይናንስ ትብብር ጋር በጋራ ለመሥራት ተፈራረመ!**

የኢትዮጵያ ኢንቨስትመንት ሆልዲንግስ ከአሜሪካው ዓለም አቀፍ የፋይናንስ ትብብር ኩባንያ ጋር በሆቴልና ቱሪዝም ዘርፍ በጋራ ለመሥራት የሚያስችለውን የመግባቢያ ሥምምነት ተፈራረመ።ሥምምነቱ ዓለም አቀፍ የፋይናንስ ትብብር ተቋም ጋር ከ200 ሚሊየን ዶላር በላይ በሆነ ካፒታል በኢትዮጵያ በሆቴልና ቱሪዝም ኢንዱስትሪ ለመሰማራት የሚያስችለው መሆኑ ተገልጿል።

የሥምምነት የተደረገው መርሃ-ግብሩ የኢፌዴሪ ፕሬዝዳንት ታዬ አፅቀ ሥላሴ በተገኙበት በአንጎላ ሉዋንዳ እየተካሄደ ካለው የአፍሪካ አሜሪካ የቢዝነስ ጉባኤ ጎን ለጎን ነው ።ሥምምነቱን የኢትዮጵያ ኢንቨስትመንት ሆልዲንግስ ዋና ሥራ አስፈጻሚ ብሩክ ታዬ (ዶ/ር) እና የአሜሪካው ዓለም አቀፍ የፋይናንስ ትብብር ኩባንያ ጋሬት ጊሽ ፈርመውታል።

ፕሬዝዳንት ታዬ አፅቀ ሥላሴ ሥምምነቱ ኢትዮጵያ የምትፈልገውና ከልማት ፕሮግራሟ ጋር አብሮ የሚሄድ ትልቅ የኢንቨስትመንት ሥምምነት መሆኑን አንስተዋል።የኢትዮጵያ ኢንቨስትመንት ሆልዲንግስ ዋና ሥራ አስፈጻሚ ብሩክ ታዬ (ዶ/ር) በበኩላቸው፤ የተደረሰው ሥምምነት በዘርፉ የተመዘገቡ አበረታች መውጤቶችን ለማስቀጠል እንደሚያስችል ጠቅሰው፤ ኩባንያው በኢትዮጵያ የሚያደርገው ተሳትፎ በአፍሪካም ጭምር ተጽዕኖ ሊኖረው እንደሚችል ተናግረዋል። 

የአሜሪካው ዓለም አቀፍ የፋይናንስ ትብብር ተቋም ፕሬዝዳንትና ሥራ አስፈጻሚ ጋሬት ጊሽ በበከላቸው ሥምምነቱ አሜሪካ አፍሪካን በተመለከተ ለማጠናከር ያሰበችውን የንግድና ኢንቨስትመንት ዲፕሎማሲ የተከተለ መሆኑን ተናግረዋል። 

(ኢዜአ)
@YeneTube @FikerAssefa",-1001105112305,2025-06-25 08:19:59,2025-06-26 12:56:28,ኢትዮጵያ
personal,Fana Media Corporation S.C (FMC),"በኮንስትራክሽን ዘርፍ ለሚሰማሩ የውጭ ባለሀብቶች አስፈላጊው ድጋፍ ይደረጋል

አዲስ አበባ፣ ሰኔ 19፣ 2017 (ኤፍ ኤም ሲ) በኮንስትራክሽን ዘርፍ ለሚሰማሩ የውጭ ባለሀብቶች አስፈላጊው ድጋፍ ይደረጋል አሉ የከተማና መሰረተ ልማት ሚኒስትር ወ/ሮ ጫልቱ ሳኒ። የምስራቅ አፍሪካ የውሃ እና መሠረተ ልማት ጉባኤ እንዲሁም የቢግ-5 ኮንስትራክት ኢትዮጵያ ዐውደ ርዕይ በሚሊኒየም አዳራሽ እየተካሄደ ነው፡፡ ሚኒስትሯ በዚሁ ወቅት፥ የኮንስትራክሽን ዘርፉ ከሌሎች ክፍለ ኢኮኖሚዎች ፊት እየቀደመ መሆኑን ጠቅሰው…

https://www.fanamc.com/archives/295596",-1001228636687,2025-06-26 08:31:54,2025-06-26 12:58:19,ኢትዮጵያ
personal,Fana Media Corporation S.C (FMC),"የሀሳብ ልዩነቶችን በምክክር የመፍታት ባህልን ለማዳበር የሃይማኖት ተቋማት ሚና ከፍተኛ ነው – ኮሚሽኑ

አዲስ አበባ፣ ሰኔ 19፣ 2017 (ኤፍ ኤም ሲ) የሀሳብ ልዩነቶችን በንግግርና በምክክር የመፍታት ባህልን ለማዳበር የሃይማኖት ተቋማት ሚና ከፍተኛ ነው አሉ የሀገራዊ ምክክር ኮሚሽን ከሚሽነር ሞሃሙድ ድሪር። በሀገራዊ ምክክር ኮሚሽን አዘጋጅነት “ለስኬታማ ሀገራዊ ምክክር የሃይማኖት ምሁራን ሚና” በሚል መሪ ሀሳብ የውይይት መድረክ ተካሂዷል። በመድረኩ ኮሚሽነር ሞሃመድ ድሪር እንደገለጹት፤ የኢትዮጵያ የሃይማኖት ተቋማት ሰብዓዊነትን፣ መከባበርን፣…

https://www.fanamc.com/archives/295592",-1001228636687,2025-06-26 08:25:12,2025-06-26 12:58:19,ኢትዮጵያ
personal,Fana Media Corporation S.C (FMC),የዕለቱ የውጭ ምንዛሪ በኢትዮጵያ ንግድ ባንክ,-1001228636687,2025-06-26 05:12:17,2025-06-26 12:58:19,ኢትዮጵያ
personal,Fana Media Corporation S.C (FMC),"“የውጭ ሀገር የሥራ ስምሪት አዋጅ የዜጎችን መብትና ጥቅም የሚያስከብር ነው” ወ/ሮ ሙፈሪሃት ካሚል

አዲስ አበባ፣ ሰኔ 18፣ 2017 (ኤፍ ኤም ሲ) የሥራና ክህሎት ሚኒስትር ሙፈሪሃት ካሚል የተሻሻለው የውጭ ሀገር የሥራ ስምሪት አዋጅ ለሥራ ወደ ውጭ የሚሰማሩ ዜጎችን መብትና ጥቅም በተሻለ መልኩ የሚያስከብር ነው አሉ፡፡ የሕዝብ ተወካዮች ምክር ቤት የሰው ኃብት ልማት፣ ሥራ ስምርትና ቴክኖሎጂ ጉዳዮች ቋሚ ኮሚቴ የኢትዮጵያ የውጭ ሀገር የሥራ ሥምሪት ረቂቅ አዋጅ ላይ ይፋዊ…

https://www.fanamc.com/archives/295578",-1001228636687,2025-06-25 19:08:12,2025-06-26 12:58:19,ኢትዮጵያ
personal,Fana Media Corporation S.C (FMC),"በጋምቤላ ክልል የኤሌክትሪክ ሃይል ተደራሽነትን ለማሻሻል እየተሰራ ነው

አዲስ አበባ፣ ሰኔ 18፣ 2017 (ኤፍ ኤም ሲ) በጋምቤላ ክልል ያለውን የኤሌክትሪክ ሃይል አቅርቦት ለማሻሻል እየተሰሩ የሚገኙ ሥራዎች ሊጠናከሩ ይገባል አሉ የክልሉ ርዕሰ መስተዳድር አለሚቱ ኡሞድ፡፡ ርዕሰ መስተዳድሯ ከውሃና ኢነርጂ ሚኒስቴር እና ከኢትዮጵያ ኤሌክትሪክ አገልግሎት የሥራ ሃላፊዎች ጋር ተወያይተዋል። በዚህ ወቅትም አሁን ያለውን የኤሌክትሪክ ሃይል አቅርቦት ለማሻሻል በተለይ ተደራሽነቱን ለማሳደግ በትኩረት መስራት ይገባል…

https://www.fanamc.com/archives/295575",-1001228636687,2025-06-25 17:43:57,2025-06-26 12:58:19,ኢትዮጵያ
